# Multi-country monthly macro panel: OECD Main Economic Indicators.
# Columns: iso,date(YYYY-MM),ip,cpi,shortrate,longrate,shareprice
# ip/cpi/shareprice are index levels; shortrate/longrate are per-cent yields.
# Source: OECD MEI via DBnomics (https://db.nomics.world, provider OECD/MEI).
# shortrate = 3-month interbank (IR3TIB01), immediate rate (IRSTCI01) where absent.
# Regenerate: make macropanel
iso,date,ip,cpi,shortrate,longrate,shareprice
AUS,1958-01,,,,,2.4689
AUS,1958-02,,,,,2.5581
AUS,1958-03,,,,,2.5672
AUS,1958-04,,,,,2.5563
AUS,1958-05,,,,,2.5016
AUS,1958-06,,,,,2.5945
AUS,1958-07,,,,,2.6473
AUS,1958-08,,,,,2.6965
AUS,1958-09,,,,,2.7019
AUS,1958-10,,,,,2.6528
AUS,1958-11,,,,,2.6837
AUS,1958-12,,,,,2.7274
AUS,1959-01,,,,,2.8221
AUS,1959-02,,,,,2.8767
AUS,1959-03,,,,,2.8312
AUS,1959-04,,,,,2.9168
AUS,1959-05,,,,,3.0442
AUS,1959-06,,,,,3.1079
AUS,1959-07,,,,,3.2700
AUS,1959-08,,,,,3.4648
AUS,1959-09,,,,,3.5467
AUS,1959-10,,,,,3.7233
AUS,1959-11,,,,,3.7088
AUS,1959-12,,,,,3.7670
AUS,1960-01,,,,,4.0165
AUS,1960-02,,,,,4.0165
AUS,1960-03,,,,,3.9054
AUS,1960-04,,,,,3.9691
AUS,1960-05,,,,,4.0656
AUS,1960-06,,,,,4.1312
AUS,1960-07,,,,,4.1566
AUS,1960-08,,,,,4.2022
AUS,1960-09,,,,,4.2040
AUS,1960-10,,,,,3.9764
AUS,1960-11,,,,,3.5631
AUS,1960-12,,,,,3.3956
AUS,1961-01,,,,,3.4757
AUS,1961-02,,,,,3.5285
AUS,1961-03,,,,,3.5394
AUS,1961-04,,,,,3.6432
AUS,1961-05,,,,,3.7215
AUS,1961-06,,,,,3.8180
AUS,1961-07,,,,,3.7725
AUS,1961-08,,,,,3.7160
AUS,1961-09,,,,,3.6851
AUS,1961-10,,,,,3.6578
AUS,1961-11,,,,,3.6705
AUS,1961-12,,,,,3.6195
AUS,1962-01,,,,,3.7470
AUS,1962-02,,,,,3.9382
AUS,1962-03,,,,,3.8508
AUS,1962-04,,,,,3.7452
AUS,1962-05,,,,,3.7670
AUS,1962-06,,,,,3.6177
AUS,1962-07,,,,,3.6104
AUS,1962-08,,,,,3.5795
AUS,1962-09,,,,,3.5230
AUS,1962-10,,,,,3.5467
AUS,1962-11,,,,,3.5959
AUS,1962-12,,,,,3.6177
AUS,1963-01,,,,,3.7179
AUS,1963-02,,,,,3.7470
AUS,1963-03,,,,,3.7616
AUS,1963-04,,,,,3.8180
AUS,1963-05,,,,,3.8817
AUS,1963-06,,,,,3.9109
AUS,1963-07,,,,,4.0911
AUS,1963-08,,,,,4.2750
AUS,1963-09,,,,,4.2786
AUS,1963-10,,,,,4.1967
AUS,1963-11,,,,,4.2550
AUS,1963-12,,,,,4.3988
AUS,1964-01,,,,,4.5572
AUS,1964-02,,,,,4.6082
AUS,1964-03,,,,,4.5973
AUS,1964-04,,,,,4.5426
AUS,1964-05,,,,,4.5226
AUS,1964-06,,,,,4.5463
AUS,1964-07,,,,,4.6136
AUS,1964-08,,,,,4.6082
AUS,1964-09,,,,,4.5062
AUS,1964-10,,,,,4.4243
AUS,1964-11,,,,,4.3952
AUS,1964-12,,,,,4.4206
AUS,1965-01,,,,,4.4261
AUS,1965-02,,,,,4.2823
AUS,1965-03,,,,,4.0274
AUS,1965-04,,,,,3.9236
AUS,1965-05,,,,,3.9473
AUS,1965-06,,,,,3.8581
AUS,1965-07,,,,,3.8653
AUS,1965-08,,,,,3.9436
AUS,1965-09,,,,,3.7980
AUS,1965-10,,,,,3.8380
AUS,1965-11,,,,,3.9181
AUS,1965-12,,,,,3.8835
AUS,1966-01,,,,,4.0074
AUS,1966-02,,,,,4.0347
AUS,1966-03,,,,,3.8599
AUS,1966-04,,,,,3.9637
AUS,1966-05,,,,,3.9218
AUS,1966-06,,,,,3.9800
AUS,1966-07,,,,,4.0765
AUS,1966-08,,,,,4.0092
AUS,1966-09,,,,,3.8763
AUS,1966-10,,,,,3.8726
AUS,1966-11,,,,,3.8490
AUS,1966-12,,,,,3.9637
AUS,1967-01,,,,,4.1184
AUS,1967-02,,,,,4.0438
AUS,1967-03,,,,,3.9673
