# EUR/USD spot (USD per EUR), monthly anchors, long history for a EUR-investor backcast.
# 1978-12..1998-12: ECU/USD (FRED EXUSEC); the ECU was replaced 1:1 by the euro on 1999-01-01.
# 1999-01-> : EUR/USD (FRED EXUSEU, monthly avg). Embedded proxy spliced behind Yahoo EURUSD=X (~2003->).
# Regenerate: FRED fredgraph.csv?id=EXUSEC and =EXUSEU, chained at the 1999 handover. See pkg/marketdata/currency.go.
1978-12,1.3773
1979-01,1.3583
1979-02,1.3517
1979-03,1.3520
1979-04,1.3370
1979-05,1.3223
1979-06,1.3378
1979-07,1.3874
1979-08,1.3831
1979-09,1.3981
1979-10,1.3920
1979-11,1.3975
1979-12,1.4294
1980-01,1.4435
1980-02,1.4301
1980-03,1.3579
1980-04,1.3417
1980-05,1.4023
1980-06,1.4230
1980-07,1.4407
1980-08,1.4125
1980-09,1.4157
1980-10,1.3808
1980-11,1.3339
1980-12,1.2930
1981-01,1.2890
1981-02,1.2067
1981-03,1.2058
1981-04,1.1745
1981-05,1.1068
1981-06,1.0659
1981-07,1.0343
1981-08,1.0069
1981-09,1.0547
1981-10,1.0868
1981-11,1.0985
1981-12,1.0835
1982-01,1.0671
1982-02,1.0326
1982-03,1.0140
1982-04,0.9985
1982-05,1.0337
1982-06,0.9769
1982-07,0.9563
1982-08,0.9504
1982-09,0.9415
1982-10,0.9304
1982-11,0.9150
1982-12,0.9542
1983-01,0.9609
1983-02,0.9435
1983-03,0.9387
1983-04,0.9253
1983-05,0.9195
1983-06,0.8921
1983-07,0.8801
1983-08,0.8524
1983-09,0.8518
1983-10,0.8660
1983-11,0.8434
1983-12,0.8225
1984-01,0.8044
1984-02,0.8298
1984-03,0.8604
1984-04,0.8454
1984-05,0.8151
1984-06,0.8152
1984-07,0.7855
1984-08,0.7767
1984-09,0.7416
1984-10,0.7283
1984-11,0.7478
1984-12,0.7193
1985-01,0.7021
1985-02,0.6768
1985-03,0.6752
1985-04,0.7253
1985-05,0.7202
1985-06,0.7329
1985-07,0.7704
1985-08,0.7977
1985-09,0.7849
1985-10,0.8362
1985-11,0.8526
1985-12,0.8731
1986-01,0.8914
1986-02,0.9278
1986-03,0.9540
1986-04,0.9489
1986-05,0.9656
1986-06,0.9616
1986-07,0.9905
1986-08,1.0210
1986-09,1.0289
1986-10,1.0403
1986-11,1.0296
1986-12,1.0443
1987-01,1.1108
1987-02,1.1306
1987-03,1.1323
1987-04,1.1471
1987-05,1.1610
1987-06,1.1404
1987-07,1.1240
1987-08,1.1152
1987-09,1.1449
1987-10,1.1531
1987-11,1.2271
1987-12,1.2654
1988-01,1.2521
1988-02,1.2168
1988-03,1.2334
1988-04,1.2407
1988-05,1.2285
1988-06,1.1844
1988-07,1.1275
1988-08,1.1027
1988-09,1.1107
1988-10,1.1388
1988-11,1.1857
1988-12,1.1844
1989-01,1.1392
1989-02,1.1252
1989-03,1.1177
1989-04,1.1115
